Name,Date,Location,Type,Region,Latitude,Longitude,Weather
Dark Star Orchestra,2/9/2024,The Showbox,Music,Downtown,47.6085136,-122.3394726,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Gov’t Mule,2/9/2024,The Moore Theatre,Music,Downtown,,,Weather data not available
Ijeoma Oluo: Be A Revolution,2/9/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Mayer Hawthorne,2/9/2024,The Neptune Theatre,Music,University District,,,Weather data not available
Moontricks,2/9/2024,The Crocodile,Music,Downtown,47.6146474,-122.3490734,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
OBOE / OBOE,2/9/2024,415 Westlake,Music,Queen Anne / Seattle Center,47.622554,-122.3386578,"Rain. Cloudy, with a high near 54. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Roots and Wings,2/9/2024,Rendezvous JewelBox Theater,Theatre,Downtown,47.6146245,-122.3462961,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Boat Show,2/2/2024 through 2/10/2024,Lumen Field,Festivals & Special Events,Pioneer Square,47.5953459,-122.33164431196111,"Rain. Cloudy, with a high near 54. South southeast wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Rain. Cloudy, with a high near 55. South southeast wind around 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Art by Design,2/9/2024 through 2/10/2024,Seattle Design Center,Visual Arts & Galleries,Downtown,47.55148885,-122.32828666347223,"Rain. Cloudy, with a high near 55. South wind around 7 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
